absolute_pac_path	sha256	bytes	artifact_role	retention
/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/fresh_measurement_manifest_meas5401.json	675b123fac237be05d0fcd5deee35dbb971ea9925f1d99294462517ecf4e0d81	85239	source evidence copied into capsule	PAC historical artifact; do not mutate
/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/panel/panel_manifest.tsv	5cfdbf69ac0e19e80e6e8dc00e953a3e69804dc11d16870e511cc1a33045d808	16847	source evidence copied into capsule	PAC historical artifact; do not mutate
/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/manifest.tsv	e190991f2bb8ef2bc1d8a72ba6cf5898bf3a395dac4e51212257420741191a3d	18955	source evidence copied into capsule	PAC historical artifact; do not mutate
/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/active_manifest.tsv	e190991f2bb8ef2bc1d8a72ba6cf5898bf3a395dac4e51212257420741191a3d	18955	source evidence copied into capsule	PAC historical artifact; do not mutate
/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/analysis_theta0.7/panel_manifest_checked.tsv	5cfdbf69ac0e19e80e6e8dc00e953a3e69804dc11d16870e511cc1a33045d808	16847	source evidence copied into capsule	PAC historical artifact; do not mutate
/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/analysis_theta0.7/fresh2_final_summary.json	8b8262bcd338138f48d7565bc91062559ab5c9efe97f5124e0a6b461b2e581f9	3506	source evidence copied into capsule	PAC historical artifact; do not mutate
/egr/research-pac/huang248/pr_diffusion_b23/docs/b22/b22_3_visual_failure_taxonomy.csv	8ce3c52d08b1dd8ca0028ec1b2660bdcefa2ceca5cdb38720ca7d65f6f8f3931	3279	source evidence copied into capsule	PAC historical artifact; do not mutate
/egr/research-pac/huang248/models/ffhq_10m.pt	81d535743156ec6be34d8668e6920da94f0614074d7793a16c8fa9e306237faa	374417833	frozen FFHQ model	PAC-only large artifact
/egr/research-pac/huang248/data/ffhq/ffhq-dataset/images1024x1024	DIRECTORY_NOT_RECURSIVELY_HASHED	0	FFHQ dataset root	PAC-only large artifact; manifest-backed
/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401	DIRECTORY_NOT_RECURSIVELY_HASHED	0	B21.11 benchmark root	PAC-only large artifact; selected files hashed above
