row_id	image_id	selection_digest	source_path	seed1	seed2
0	61978	00033bf9b0656979679c423e036e7750d3128b8bc6417d75274af545922fe8cb	/egr/research-pac/huang248/data/ffhq/ffhq-dataset/images1024x1024/61000/61978.png	22000	23000
1	69688	0009caacee86efb0f35216d79cc6620af8ceb64171df02e0cb87ec33141393e4	/egr/research-pac/huang248/data/ffhq/ffhq-dataset/images1024x1024/69000/69688.png	22001	23001
2	66907	000d082f73c6bbcd348970435a07ef72ee6fe27f266f55671db0ac34cacddaf0	/egr/research-pac/huang248/data/ffhq/ffhq-dataset/images1024x1024/66000/66907.png	22002	23002
3	60814	0011107bf5c72fbc96266194c1e18251e0e708c10d0e8a9b2b08e8c483b92a26	/egr/research-pac/huang248/data/ffhq/ffhq-dataset/images1024x1024/60000/60814.png	22003	23003
4	68743	001c9874ea9b03df2bf9bd4a5daa775701a7c61f41f65a8a7da34764628e849e	/egr/research-pac/huang248/data/ffhq/ffhq-dataset/images1024x1024/68000/68743.png	22004	23004
5	65033	001d9dc505913cd304e0e8fbcfa02e40f1a3d6b9d267a242f00ad274e5c2dcd4	/egr/research-pac/huang248/data/ffhq/ffhq-dataset/images1024x1024/65000/65033.png	22005	23005
6	69368	0027909a8a72b56c1650e809241ec50fb06a70c9da95dafde22088ecd42e0149	/egr/research-pac/huang248/data/ffhq/ffhq-dataset/images1024x1024/69000/69368.png	22006	23006
7	67418	002ca860007622202b027532b1232099168428801839afb3fa7a7af9e45dbfb3	/egr/research-pac/huang248/data/ffhq/ffhq-dataset/images1024x1024/67000/67418.png	22007	23007
8	65352	0032b1733f88ae3a2fb6ef77d86d5f58607d19dc5fddab328665537b7e1b4de0	/egr/research-pac/huang248/data/ffhq/ffhq-dataset/images1024x1024/65000/65352.png	22008	23008
9	62024	003a0548f861cb001c21367f2ec7183c8350985804b36d6a082049e57fdf1cbd	/egr/research-pac/huang248/data/ffhq/ffhq-dataset/images1024x1024/62000/62024.png	22009	23009
10	61688	003a5cdd2a56d21c01b7e1d7e7e2a59004813cc13ae6c97acdb92c1bd8c91775	/egr/research-pac/huang248/data/ffhq/ffhq-dataset/images1024x1024/61000/61688.png	22010	23010
11	63050	003f09f2444fca95e9909df6aed3940ae7dfed29d978e21ac7ba88157c7b86aa	/egr/research-pac/huang248/data/ffhq/ffhq-dataset/images1024x1024/63000/63050.png	22011	23011
12	64823	004395be4427c03b9eb803847b16413d63a8f85da657224446076349af9d8f91	/egr/research-pac/huang248/data/ffhq/ffhq-dataset/images1024x1024/64000/64823.png	22012	23012
13	66683	00554a1828d114ea21b4bcd94863c3d123b07fe84d67d6c631c2847d0c194319	/egr/research-pac/huang248/data/ffhq/ffhq-dataset/images1024x1024/66000/66683.png	22013	23013
14	66631	0055fdec151e7fe9bad88b84adcf55b0389d81d0d37e17ed71f57e161ed39a83	/egr/research-pac/huang248/data/ffhq/ffhq-dataset/images1024x1024/66000/66631.png	22014	23014
15	65553	005e9706880812e929950fa1194d5277db302d4e66ff3a4806e7f7c4c7bcbbf3	/egr/research-pac/huang248/data/ffhq/ffhq-dataset/images1024x1024/65000/65553.png	22015	23015
16	64159	0076a48963df71b72f0c844ca29d4b0d85e78c561c56556d0737ca1ffb4c8a94	/egr/research-pac/huang248/data/ffhq/ffhq-dataset/images1024x1024/64000/64159.png	22016	23016
17	61749	007870ac69b79412e40a7c391266c93d607b5d0422f10ff95e0c7154e457293f	/egr/research-pac/huang248/data/ffhq/ffhq-dataset/images1024x1024/61000/61749.png	22017	23017
18	61101	0080e93927e8bc80abb13895fa28edbff4220faba4828e2d2034adaa5e3599ff	/egr/research-pac/huang248/data/ffhq/ffhq-dataset/images1024x1024/61000/61101.png	22018	23018
19	63013	0082930b3d8797cbc6fbb1d7419096c9c88fb5b7f172f1ee10195733030fcf6d	/egr/research-pac/huang248/data/ffhq/ffhq-dataset/images1024x1024/63000/63013.png	22019	23019
20	60044	0087bc1c6e68813b9f840ef0612c68377719168a6db7100cbfdaf3f704ba24d6	/egr/research-pac/huang248/data/ffhq/ffhq-dataset/images1024x1024/60000/60044.png	22020	23020
