row_id	image_id	gpu	seed1	seed2	measurement_path	execution_order
0	61978	0	22000	23000	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq61978_phase_noise005_meas5401.pt	base_full,base_extra
1	69688	1	22001	23001	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq69688_phase_noise005_meas5401.pt	base_extra,base_full
2	66907	2	22002	23002	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq66907_phase_noise005_meas5401.pt	base_full,base_extra
3	60814	3	22003	23003	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq60814_phase_noise005_meas5401.pt	base_extra,base_full
4	68743	0	22004	23004	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq68743_phase_noise005_meas5401.pt	base_full,base_extra
5	65033	1	22005	23005	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq65033_phase_noise005_meas5401.pt	base_extra,base_full
6	69368	2	22006	23006	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq69368_phase_noise005_meas5401.pt	base_full,base_extra
7	67418	3	22007	23007	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq67418_phase_noise005_meas5401.pt	base_extra,base_full
8	65352	0	22008	23008	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq65352_phase_noise005_meas5401.pt	base_full,base_extra
9	62024	1	22009	23009	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq62024_phase_noise005_meas5401.pt	base_extra,base_full
10	61688	2	22010	23010	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq61688_phase_noise005_meas5401.pt	base_full,base_extra
11	63050	3	22011	23011	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq63050_phase_noise005_meas5401.pt	base_extra,base_full
12	64823	0	22012	23012	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq64823_phase_noise005_meas5401.pt	base_full,base_extra
13	66683	1	22013	23013	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq66683_phase_noise005_meas5401.pt	base_extra,base_full
14	66631	2	22014	23014	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq66631_phase_noise005_meas5401.pt	base_full,base_extra
15	65553	3	22015	23015	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq65553_phase_noise005_meas5401.pt	base_extra,base_full
16	64159	0	22016	23016	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq64159_phase_noise005_meas5401.pt	base_full,base_extra
17	61749	1	22017	23017	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq61749_phase_noise005_meas5401.pt	base_extra,base_full
18	61101	2	22018	23018	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq61101_phase_noise005_meas5401.pt	base_full,base_extra
19	63013	3	22019	23019	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq63013_phase_noise005_meas5401.pt	base_extra,base_full
20	60044	0	22020	23020	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq60044_phase_noise005_meas5401.pt	base_full,base_extra
21	62837	1	22021	23021	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq62837_phase_noise005_meas5401.pt	base_extra,base_full
22	69970	2	22022	23022	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq69970_phase_noise005_meas5401.pt	base_full,base_extra
23	64587	3	22023	23023	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq64587_phase_noise005_meas5401.pt	base_extra,base_full
24	61290	0	22024	23024	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq61290_phase_noise005_meas5401.pt	base_full,base_extra
25	68248	1	22025	23025	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq68248_phase_noise005_meas5401.pt	base_extra,base_full
26	67158	2	22026	23026	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq67158_phase_noise005_meas5401.pt	base_full,base_extra
27	69473	3	22027	23027	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq69473_phase_noise005_meas5401.pt	base_extra,base_full
