image_id,measurement_id,dataset_split,first_project_stage,roles_seen,ground_truth_inspected,artifacts,exclusion_reason,source_evidence
00000,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,PRE_B19,development|comparison|manual_inspection,true,pre-B23 FFHQ available25,PRE_B23_EXPOSURE_CONSERVATIVE,docs/branch_A_clean_free_certificates.md
00001,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,PRE_B19,development|comparison|manual_inspection,true,pre-B23 FFHQ available25,PRE_B23_EXPOSURE_CONSERVATIVE,docs/branch_A_clean_free_certificates.md
00002,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,PRE_B19,development|comparison|manual_inspection,true,pre-B23 FFHQ available25,PRE_B23_EXPOSURE_CONSERVATIVE,docs/branch_A_clean_free_certificates.md
00003,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,PRE_B19,development|comparison|manual_inspection,true,pre-B23 FFHQ available25,PRE_B23_EXPOSURE_CONSERVATIVE,docs/branch_A_clean_free_certificates.md
00004,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,PRE_B19,development|comparison|manual_inspection,true,pre-B23 FFHQ available25,PRE_B23_EXPOSURE_CONSERVATIVE,docs/branch_A_clean_free_certificates.md
00005,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,PRE_B19,development|comparison|manual_inspection,true,pre-B23 FFHQ available25,PRE_B23_EXPOSURE_CONSERVATIVE,docs/branch_A_clean_free_certificates.md
00006,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,PRE_B19,development|comparison|manual_inspection,true,pre-B23 FFHQ available25,PRE_B23_EXPOSURE_CONSERVATIVE,docs/branch_A_clean_free_certificates.md
00007,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,PRE_B19,development|comparison|manual_inspection,true,pre-B23 FFHQ available25,PRE_B23_EXPOSURE_CONSERVATIVE,docs/branch_A_clean_free_certificates.md
00008,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,PRE_B19,development|comparison|manual_inspection,true,pre-B23 FFHQ available25,PRE_B23_EXPOSURE_CONSERVATIVE,docs/branch_A_clean_free_certificates.md
00009,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,PRE_B19,development|comparison|manual_inspection,true,pre-B23 FFHQ available25,PRE_B23_EXPOSURE_CONSERVATIVE,docs/branch_A_clean_free_certificates.md
